date,SPY,XLK,XLV,XLF,XLY,XLP,XLE,XLI,XLB,XLU,XLRE,XLC
2005-11-01,85.8776,8.3188,21.6728,17.2027,12.7912,13.6505,13.8211,21.2134,9.3964,7.7342,,
2005-12-01,85.7131,8.0633,22.4227,17.2063,12.6817,13.6665,14.0698,21.3137,9.6653,7.8006,,
2006-01-03,87.7714,8.3333,22.7125,17.3584,12.907,13.69,16.1253,21.3747,10.1313,7.9895,,
2006-02-01,88.2739,8.3526,22.974,17.7278,13.0002,13.8073,14.6375,22.0395,9.9142,8.0938,,
2006-03-01,89.7311,8.5417,22.6805,17.7792,13.0767,13.9212,15.2588,23.0143,10.3767,7.719,,
2006-04-03,90.8646,8.4298,21.9784,18.5493,13.2438,14.0569,16.0273,23.5114,10.7455,7.8417,,
2006-05-01,88.1276,7.8819,21.5174,17.8502,13.0224,14.0863,15.5814,23.1096,10.3125,7.9693,,
2006-06-01,88.3578,7.8434,21.525,17.7676,12.9996,14.3456,15.977,23.0799,10.3656,8.1522,,
2006-07-03,88.7535,7.6389,22.6994,18.1742,12.5674,14.571,16.5119,21.7693,9.9781,8.5435,,
2006-08-01,90.6903,8.1751,23.3472,18.3885,12.8166,15.1343,15.6729,22.015,10.2784,8.7783,,
2006-09-01,93.1394,8.5049,23.7055,19.1287,13.6331,15.1267,15.1014,22.8556,10.3435,8.6506,,
2006-10-02,96.0748,8.849,23.784,19.5762,14.5147,15.3949,15.7456,23.5,10.9646,9.1088,,
2006-11-01,97.9853,9.0925,23.7555,19.7144,14.698,15.2638,17.0961,24.0758,11.4419,9.3505,,
2006-12-01,99.2952,9.0435,24.0038,20.4563,15.0167,15.6467,16.6144,24.1944,11.5042,9.4304,,
2007-01-03,100.7887,9.2263,24.7349,20.6456,15.4473,15.9642,16.4613,24.6989,11.9801,9.397,,
2007-02-01,98.8114,8.9619,24.14,20.0164,14.9658,15.7186,16.1241,24.4778,12.3766,9.8747,,
2007-03-01,99.9568,9.0669,24.2086,19.9217,14.9146,16.0434,17.138,24.6208,12.591,10.2507,,
2007-04-02,104.3844,9.4945,25.9784,20.6934,15.2675,16.4949,18.0165,25.7635,12.7796,10.7542,,
2007-05-01,107.9251,9.9728,26.4245,21.191,15.7264,16.7177,19.4181,27.1001,13.534,10.8033,,
2007-06-01,106.3469,9.9603,25.5398,20.3398,15.4516,16.3846,19.6713,27.1075,13.4622,10.2904,,
2007-07-02,103.0172,9.9409,24.3247,18.4959,14.5362,15.9182,19.6741,27.3644,13.1032,9.8796,,
2007-08-01,104.3392,10.1315,24.8816,18.9737,14.6266,16.2937,19.9108,27.3713,13.0134,10.0356,,
2007-09-04,108.3784,10.5143,25.6579,19.437,14.4979,17.0423,21.3839,28.6681,14.0615,10.4206,,
2007-10-01,109.8487,11.0718,26.137,19.1028,14.4271,17.3042,21.9271,28.2983,14.6459,11.1145,,
2007-11-01,105.594,10.2375,26.4708,17.5567,13.6398,17.7793,21.0037,27.4957,13.9079,11.1878,,
2007-12-03,104.4052,10.4414,25.7223,16.5336,12.9642,17.6317,22.743,27.459,14.0572,11.1675,,
2008-01-02,98.0928,9.1059,24.5495,16.6536,12.9166,16.6522,19.9485,25.9444,13.4673,10.347,,
2008-02-01,95.5578,8.675,23.8939,14.7619,12.4171,16.6093,21.7972,25.4185,13.7774,9.9223,,
2008-03-03,94.7033,8.7753,22.8081,14.328,12.1953,17.1475,21.2879,26.3414,13.5837,10.0816,,
2008-04-01,99.217,9.3238,23.0349,15.3304,12.4851,17.0182,23.4983,27.1161,14.3074,10.5971,,
2008-05-01,100.7169,9.931,23.474,14.2646,12.8265,17.5352,24.7199,27.3556,15.0513,10.977,,
2008-06-02,92.2995,9.0007,22.4808,11.7755,11.347,16.5358,25.5001,24.0659,14.1759,10.8951,,
2008-07-01,91.4701,8.7807,23.488,12.5718,11.3669,16.9376,21.4422,24.257,13.7173,10.1938,,
2008-08-01,92.8837,8.9379,23.9732,12.4497,12.1518,17.395,21.5142,24.9222,13.5033,10.0813,,
2008-09-02,84.1364,7.8253,22.1917,11.6713,11.1551,17.1774,18.302,21.9136,11.4132,8.9741,,
2008-10-01,70.2382,6.5638,19.6439,9.1129,9.188,15.0115,14.8613,17.9151,8.8572,7.8075,,
2008-11-03,65.3492,6.0119,18.4032,7.4288,8.1924,14.9804,14.5375,16.4423,7.9106,8.1343,,
2008-12-01,65.9896,6.1075,19.7264,7.4563,8.6898,14.9828,13.8834,16.8248,7.865,7.939,,
2009-01-02,60.5709,5.8181,19.4887,5.5029,7.7672,13.9032,13.6364,14.8061,7.2839,7.9253,,
2009-02-02,54.0626,5.5962,17.074,4.5262,7.0622,12.7796,11.9548,12.2845,6.6994,6.9326,,
2009-03-02,58.567,6.2219,18.0994,5.2995,7.9589,13.3226,12.4035,13.3677,7.7282,7.0644,,
2009-04-01,64.3854,6.8712,18.077,6.4544,9.4332,13.8908,13.3734,15.783,8.9322,7.1474,,
2009-05-01,68.1489,7.0305,19.3105,7.3566,9.3644,14.598,15.0969,16.3125,9.4541,7.4018,,
2009-06-01,68.1044,7.2864,19.7682,7.2253,9.3881,14.627,14.1081,16.0345,9.0252,7.7994,,
2009-07-01,73.1854,7.8826,20.9403,7.8662,10.2789,15.6005,14.8627,17.4364,10.1866,8.093,,
2009-08-03,75.8888,8.0106,21.5038,8.888,10.6409,15.7913,15.0242,18.2688,10.4279,8.1741,,
2009-09-01,78.5799,8.3817,21.6361,9.0611,11.2101,16.3142,15.902,19.3346,10.8681,8.2867,,
2009-10-01,77.0692,8.2773,21.1833,8.5214,10.9449,16.5513,16.2942,18.5639,10.306,8.0212,,
2009-11-02,81.8171,8.7351,23.153,8.8913,11.6794,17.16,16.7573,20.1934,11.416,8.4082,,
2009-12-01,83.3801,9.2421,23.5768,8.766,12.2151,17.122,16.9049,20.5315,11.6522,8.8683,,
2010-01-04,80.3498,8.4477,23.7362,8.6321,11.8622,16.9474,16.1607,20.2286,10.6456,8.4423,,
2010-02-01,82.8563,8.7423,23.8272,8.9365,12.5228,17.4842,16.647,21.3072,11.1259,8.3308,,
2010-03-01,87.9009,9.3403,24.4628,9.7317,13.5005,18.1429,17.116,23.1595,12.0067,8.5549,,
2010-04-01,89.2607,9.4571,23.5111,9.8598,14.3145,17.9481,17.8272,24.1455,12.0315,8.7799,,
2010-05-03,82.1685,8.7499,21.9807,8.9569,13.3073,17.1166,15.7859,21.9437,10.8846,8.2954,,
2010-06-01,77.9173,8.2777,21.5797,8.4437,12.0139,16.6833,14.8503,20.435,10.0866,8.2371,,
2010-07-01,83.2391,8.8945,21.8629,8.994,12.9666,17.6516,16.0939,22.5657,11.3807,8.8521,,
2010-08-02,79.4949,8.3954,21.5032,8.2909,12.4511,17.3245,15.3047,21.0012,11.0359,8.9804,,
2010-09-01,86.6142,9.3746,23.4521,8.7936,13.8234,18.3705,16.8346,23.422,11.8918,9.2403,,
2010-10-01,89.923,9.9162,23.9751,8.9223,14.5888,18.9569,17.7895,24.0959,12.6246,9.3405,,
2010-11-01,89.923,9.7534,23.2829,8.861,14.957,18.6604,18.8315,24.4178,12.7661,9.0578,,
2010-12-01,95.9344,10.2952,24.3547,9.8095,15.5697,19.4814,20.5863,26.2435,14.0475,9.3391,,
2011-01-03,98.1697,10.6222,24.4938,10.0863,15.4739,19.1956,22.0643,27.2746,14.0585,9.4523,,
2011-02-01,101.5798,10.8551,25.2585,10.3631,16.402,19.7539,23.6901,27.8541,14.4315,9.5685,,
